company_name,contact_name,designation,phone,email,website,address,industry,source,notes
Cron24 Technologies,,,+91 93602 39309,sales@cron24.com,https://cron24.com,Madurai,IT / Tech,OpenStreetMap,"osm/node/7981200683 | Madurai, TN"
PiBi Technologies,,,096290 21304,,https://www.pibitech.com/,"PT Rajan Road, B B Kulam, Madurai, Tamil Nadu., Madurai, 625002",IT / Tech,OpenStreetMap,"osm/node/13476413201 | Madurai, TN"
Dot Com Infoway Limited,,,+91-452-252-2257,,,Madurai,IT / Tech,OpenStreetMap,"osm/way/1484716229 | Madurai, TN"
it company chennai,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
It Company Hardo Infotech,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
It company,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
IT companies,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
I T Company,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
It Solution Company (Closed Down),,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
It Services Co Webdoux,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
Top Tech Developers,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
Success Root Technologies,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
Xteriya Pvt Ltd,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
Deforay Technologies Pvt Ltd,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
Laabam One Business Solutions Private Limited,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
El Codamics,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
Weber Tech,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
Trigon Apex Technologies,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
Brandus Creative,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
Adaptive Infotech,,,,,,Chennai,IT / Tech,JustDial,"Chennai, TN"
Zanec,,,,,,"3, 4, Fourrts Avenue, Thuraipakkam, Chennai, 600097",IT / Tech,OpenStreetMap,"osm/node/3256666199 | Chennai, TN"
Spritle Software,,,,,,"Chakrapani St, Chennai",IT / Tech,OpenStreetMap,"osm/node/3605191046 | Chennai, TN"
Gamesa,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/3681834858 | Chennai, TN"
Touchmark Media,,,,,http://www.touchmarkmedia.in,"10-C, 92nd St, 18th avenue, Ashok Nagar, Chennai, 600083",IT / Tech,OpenStreetMap,"osm/node/4066311356 | Chennai, TN"
Prestige Cyber Towers,,,,,,"Rajiv Gandhi Salai, Karapakkam",IT / Tech,OpenStreetMap,"osm/node/4412742151 | Chennai, TN"
Official Gates,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/4426284855 | Chennai, TN"
DMedium,,,,,,"FlaatNo G3, Astalakshmi Homes, 10th Street, Ram Nagar, Puzhuthivakkam, Chennai, 600091",IT / Tech,OpenStreetMap,"osm/node/4793224996 | Chennai, TN"
Trumatics,,,,,,"6th Main Road, Chennai, 600042",IT / Tech,OpenStreetMap,"osm/node/5167730830 | Chennai, TN"
Comcast India Engineering Center,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/5936049188 | Chennai, TN"
Hexaware Technologies,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/6572344272 | Chennai, TN"
Quadkast Technologies,,,,info@quadkast.com,http://quadkast.com/,Chennai,IT / Tech,OpenStreetMap,"osm/node/7162410756 | Chennai, TN"
Nibav Towers - Nibav lifts,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/11680166045 | Chennai, TN"
