company_name,contact_name,designation,phone,email,website,address,industry,source,notes
ELCOT IT,,,,,,Salem,IT / Tech,OpenStreetMap,"osm/node/10732094035 | Salem, TN"
VEE Technologies,,,,,,Salem,IT / Tech,OpenStreetMap,"osm/node/10732094036 | Salem, TN"
Live CAD Center,,,,,,Salem,IT / Tech,OpenStreetMap,"osm/node/11338662355 | Salem, TN"
IT PARK ZONE,,,,,,Salem,IT / Tech,OpenStreetMap,"osm/way/974689340 | Salem, TN"
Aravind Eye Hospital,,,,,,"Salem, 636002",Pharma / Healthcare,OpenStreetMap,"osm/node/4302899802 | Salem, TN"
Vijaya hospital,,,,,,"Salem, 636007",Pharma / Healthcare,OpenStreetMap,"osm/node/4302953997 | Salem, TN"
S K S Hospital India Pvt Ltd,,,,,,"Salem, 636004",Pharma / Healthcare,OpenStreetMap,"osm/node/4305411590 | Salem, TN"
"St.Marys Hospital, Salem",,,,,,"Salem, 636009",Pharma / Healthcare,OpenStreetMap,"osm/node/4305436890 | Salem, TN"
Kamala Hospital,,,,,,"Salem, 636001",Pharma / Healthcare,OpenStreetMap,"osm/node/4305461792 | Salem, TN"
"Vasan Eye Care Hospital, Salem",,,,,,"Salem, 636004",Pharma / Healthcare,OpenStreetMap,"osm/node/4305484390 | Salem, TN"
"Kiruba Hospital, Salem",,,,,,"Salem, 636007",Pharma / Healthcare,OpenStreetMap,"osm/node/4305484395 | Salem, TN"
S Palaniandi Mudaliar Memorial Hospital,,,,,,"Salem, 636003",Pharma / Healthcare,OpenStreetMap,"osm/node/4305485194 | Salem, TN"
Gopi Memorial Hospital,,,,,,Salem,Pharma / Healthcare,OpenStreetMap,"osm/node/4306892896 | Salem, TN"
Manipal Hospital,,,,,,Salem,Pharma / Healthcare,OpenStreetMap,"osm/node/4416232390 | Salem, TN"
Rps Hospital,,,,,,"Salem, 636201",Pharma / Healthcare,OpenStreetMap,"osm/node/4516488490 | Salem, TN"
Krishna Hospital,,,,,,Salem,Pharma / Healthcare,OpenStreetMap,"osm/node/4516539598 | Salem, TN"
Southern Hospital,,,,,,Salem,Pharma / Healthcare,OpenStreetMap,"osm/node/4517325191 | Salem, TN"
Universal Hospital,,,,,,Salem,Pharma / Healthcare,OpenStreetMap,"osm/node/4534034391 | Salem, TN"
Vinayaka mission Kirubananadah variyar medical college hospital,,,,,,Salem,Pharma / Healthcare,OpenStreetMap,"osm/node/4774253423 | Salem, TN"
Vinayaga hospital  seeragapadi,,,,,,Salem,Pharma / Healthcare,OpenStreetMap,"osm/node/5238962721 | Salem, TN"
AP medical center,,,,,,Salem,Pharma / Healthcare,OpenStreetMap,"osm/node/6743577988 | Salem, TN"
Sri Gokulam Hospital Pvt Ltd,,,,,,"Salem, 636004",Pharma / Healthcare,OpenStreetMap,"osm/node/6914764665 | Salem, TN"
"Vijaya Hospital, Salem",,,,,,"Salem, 636007",Pharma / Healthcare,OpenStreetMap,"osm/node/6914880516 | Salem, TN"
Chellam Hospital,,,,,,"Salem, 636007",Pharma / Healthcare,OpenStreetMap,"osm/node/6914880533 | Salem, TN"
Mohanraj ChildrenS Hospital,,,,,,"Salem, 636001",Pharma / Healthcare,OpenStreetMap,"osm/node/6914880569 | Salem, TN"
"R.K. Hospital, Salem",,,,,,"Salem, 636004",Pharma / Healthcare,OpenStreetMap,"osm/node/6914896198 | Salem, TN"
"Pushpam Hospital, Dharmapuri",,,,,,"Salem, 636001",Pharma / Healthcare,OpenStreetMap,"osm/node/6914896254 | Salem, TN"
Prn Critical Care Centre And Hospitals,,,,,,"Salem, 636007",Pharma / Healthcare,OpenStreetMap,"osm/node/6914896270 | Salem, TN"
Sri Ragavendhra Neuro Care Pvt. Ltd.,,,,,,"Salem, 636009",Pharma / Healthcare,OpenStreetMap,"osm/node/6914910280 | Salem, TN"
Sree Vasantham Hospital,,,,,,"Salem, 636006",Pharma / Healthcare,OpenStreetMap,"osm/node/6915195849 | Salem, TN"
Aishwaryam Nature Cure Hospital and Yoga Centre,,,,,,"Salem, 636004",Pharma / Healthcare,OpenStreetMap,"osm/node/6915421475 | Salem, TN"
Global Medical Center,,,,,,"Salem, 636302",Pharma / Healthcare,OpenStreetMap,"osm/node/6926069002 | Salem, TN"
G V Jayam Hospital,,,,,,"Salem, 636001",Pharma / Healthcare,OpenStreetMap,"osm/node/6926494062 | Salem, TN"
Gl Hospital,,,,,,"Salem, 636004",Pharma / Healthcare,OpenStreetMap,"osm/node/6928277851 | Salem, TN"
"Vidya Hospital, Salem",,,,,,"Salem, 636007",Pharma / Healthcare,OpenStreetMap,"osm/node/6928469157 | Salem, TN"
Nithish Ge And Multi Speciality Hospital,,,,,,"Salem, 636007",Pharma / Healthcare,OpenStreetMap,"osm/node/6928858576 | Salem, TN"
Dr. Soodamani Hospital,,,,,,"Salem, 636016",Pharma / Healthcare,OpenStreetMap,"osm/node/6928899359 | Salem, TN"
"Bharathi Hospital, Salem",,,,,,"Salem, 637001",Pharma / Healthcare,OpenStreetMap,"osm/node/6929372897 | Salem, TN"
Thayammal Hospitals,,,,,,"Salem, 636010",Pharma / Healthcare,OpenStreetMap,"osm/node/6930080460 | Salem, TN"
Rishi Nethralaya,,,,,,"Salem, 636007",Pharma / Healthcare,OpenStreetMap,"osm/node/6931858186 | Salem, TN"
"J S Hospital, Dharmapuri",,,,,,"Salem, 636001",Pharma / Healthcare,OpenStreetMap,"osm/node/6933038501 | Salem, TN"
Dharan Hospital,,,,,,"Salem, 636201",Pharma / Healthcare,OpenStreetMap,"osm/node/6933126167 | Salem, TN"
Pks Hospital,,,,,,"Salem, 636001",Pharma / Healthcare,OpenStreetMap,"osm/node/6933137208 | Salem, TN"
"Kurinji Hospital, Salem",,,,,,"Salem, 636016",Pharma / Healthcare,OpenStreetMap,"osm/node/6933523233 | Salem, TN"
Satya Sai Ent Head and Neck Hospital,,,,,,"Salem, 636007",Pharma / Healthcare,OpenStreetMap,"osm/node/6933727443 | Salem, TN"
Vinayaka Misson Hospital,,,,,,"Salem, 636308",Pharma / Healthcare,OpenStreetMap,"osm/node/6933840828 | Salem, TN"
Sarvana Hospital Pvt. Ltd.,,,,,,"Salem, 636001",Pharma / Healthcare,OpenStreetMap,"osm/node/6933876607 | Salem, TN"
"Vasan Eye Care Hospital, Gugai",,,,,,"Salem, 636006",Pharma / Healthcare,OpenStreetMap,"osm/node/6934018854 | Salem, TN"
Sisu Hospital Inida Ltd,,,,,,"Salem, 636005",Pharma / Healthcare,OpenStreetMap,"osm/node/6934129082 | Salem, TN"
A.G.P Hospital,,,,,,"Salem, 636007",Pharma / Healthcare,OpenStreetMap,"osm/node/6934264318 | Salem, TN"
M G Diabetes Speciality and Research Centre,,,,,,"Salem, 636004",Pharma / Healthcare,OpenStreetMap,"osm/node/6934271116 | Salem, TN"
"Lotus Eye Care Hospital, Salem",,,,,,"Salem, 636007",Pharma / Healthcare,OpenStreetMap,"osm/node/6934271121 | Salem, TN"
